,Customer Name,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
0,a,1,Male,19,15,39,0
1,b,2,Male,21,15,81,5
2,c,3,Female,20,16,6,0
3,d,4,Female,23,16,77,5
4,e,5,Female,31,17,40,0
5,f,6,Female,22,17,76,5
6,g,7,Female,35,18,6,0
7,h,8,Female,23,18,94,5
8,i,9,Male,64,19,3,0
9,j,10,Female,30,19,72,5
10,k,11,Male,67,19,14,0
11,l,12,Female,35,19,99,5
12,m,13,Female,58,20,15,0
13,n,14,Female,24,20,77,5
14,o,15,Male,37,20,13,0
15,p,16,Male,22,20,79,5
16,q,17,Female,35,21,35,0
17,r,18,Male,20,21,66,5
18,s,19,Male,52,23,29,0
19,t,20,Female,35,23,98,5
20,u,21,Male,35,24,35,0
21,v,22,Male,25,24,73,5
22,w,23,Female,46,25,5,0
23,x,24,Male,31,25,73,5
24,y,25,Female,54,28,14,0
25,z,26,Male,29,28,82,5
26,a1,27,Female,45,28,32,0
27,a2,28,Male,35,28,61,5
28,a3,29,Female,40,29,31,0
29,a4,30,Female,23,29,87,5
30,a5,31,Male,60,30,4,0
31,a6,32,Female,21,30,73,5
32,a7,33,Male,53,33,4,0
33,a8,34,Male,18,33,92,5
34,a9,35,Female,49,33,14,0
35,a10,36,Female,21,33,81,5
36,a11,37,Female,42,34,17,0
37,a12,38,Female,30,34,73,5
38,a13,39,Female,36,37,26,0
39,a14,40,Female,20,37,75,5
40,a15,41,Female,65,38,35,0
41,a16,42,Male,24,38,92,5
42,a17,43,Male,48,39,36,0
43,a18,44,Female,31,39,61,1
44,a19,45,Female,49,39,28,0
45,a20,46,Female,24,39,65,5
46,a21,47,Female,50,40,55,1
47,a22,48,Female,27,40,47,1
48,a23,49,Female,29,40,42,1
49,a24,50,Female,31,40,42,1
50,a25,51,Female,49,42,52,1
51,a26,52,Male,33,42,60,1
52,a27,53,Female,31,43,54,1
53,a28,54,Male,59,43,60,1
54,a29,55,Female,50,43,45,1
55,a30,56,Male,47,43,41,1
56,a31,57,Female,51,44,50,1
57,a32,58,Male,69,44,46,1
58,a33,59,Female,27,46,51,1
59,a34,60,Male,53,46,46,1
60,a35,61,Male,70,46,56,1
61,a36,62,Male,19,46,55,1
62,a37,63,Female,67,47,52,1
63,a38,64,Female,54,47,59,1
64,a39,65,Male,63,48,51,1
65,a40,66,Male,18,48,59,1
66,a41,67,Female,43,48,50,1
67,a42,68,Female,68,48,48,1
68,a43,69,Male,19,48,59,1
69,a44,70,Female,32,48,47,1
70,a45,71,Male,70,49,55,1
71,a46,72,Female,47,49,42,1
72,a47,73,Female,60,50,49,1
73,a48,74,Female,60,50,56,1
74,a49,75,Male,59,54,47,1
75,a50,76,Male,26,54,54,1
76,a51,77,Female,45,54,53,1
77,a52,78,Male,40,54,48,1
78,a53,79,Female,23,54,52,1
79,a54,80,Female,49,54,42,1
80,a55,81,Male,57,54,51,1
81,a56,82,Male,38,54,55,1
82,a57,83,Male,67,54,41,1
83,a58,84,Female,46,54,44,1
84,a59,85,Female,21,54,57,1
85,a60,86,Male,48,54,46,1
86,a61,87,Female,55,57,58,1
87,a62,88,Female,22,57,55,1
88,a63,89,Female,34,58,60,1
89,a64,90,Female,50,58,46,1
90,a65,91,Female,68,59,55,1
91,a66,92,Male,18,59,41,1
92,a67,93,Male,48,60,49,1
93,a68,94,Female,40,60,40,1
94,a69,95,Female,32,60,42,1
95,a70,96,Male,24,60,52,1
96,a71,97,Female,47,60,47,1
97,a72,98,Female,27,60,50,1
98,a73,99,Male,48,61,42,1
99,a74,100,Male,20,61,49,1
100,a75,101,Female,23,62,41,1
101,a76,102,Female,49,62,48,1
102,a77,103,Male,67,62,59,1
103,a78,104,Male,26,62,55,1
104,a79,105,Male,49,62,56,1
105,a80,106,Female,21,62,42,1
106,a81,107,Female,66,63,50,1
107,a82,108,Male,54,63,46,1
108,a83,109,Male,68,63,43,1
109,a84,110,Male,66,63,48,1
110,a85,111,Male,65,63,52,1
111,a86,112,Female,19,63,54,1
112,a87,113,Female,38,64,42,1
113,a88,114,Male,19,64,46,1
114,a89,115,Female,18,65,48,1
115,a90,116,Female,19,65,50,1
116,a91,117,Female,63,65,43,1
117,a92,118,Female,49,65,59,1
118,a93,119,Female,51,67,43,1
119,a94,120,Female,50,67,57,1
120,a95,121,Male,27,67,56,1
121,a96,122,Female,38,67,40,1
122,a97,123,Female,40,69,58,1
123,a98,124,Male,39,69,91,4
124,a99,125,Female,23,70,29,3
125,a100,126,Female,31,70,77,4
126,a101,127,Male,43,71,35,1
127,a102,128,Male,40,71,95,4
128,a103,129,Male,59,71,11,3
129,a104,130,Male,38,71,75,4
130,a105,131,Male,47,71,9,3
131,a106,132,Male,39,71,75,4
132,a107,133,Female,25,72,34,1
133,a108,134,Female,31,72,71,4
134,a109,135,Male,20,73,5,3
135,a110,136,Female,29,73,88,4
136,a111,137,Female,44,73,7,3
137,a112,138,Male,32,73,73,4
138,a113,139,Male,19,74,10,3
139,a114,140,Female,35,74,72,4
140,a115,141,Female,57,75,5,3
141,a116,142,Male,32,75,93,4
142,a117,143,Female,28,76,40,1
143,a118,144,Female,32,76,87,4
144,a119,145,Male,25,77,12,3
145,a120,146,Male,28,77,97,4
146,a121,147,Male,48,77,36,3
147,a122,148,Female,32,77,74,4
148,a123,149,Female,34,78,22,3
149,a124,150,Male,34,78,90,4
150,a125,151,Male,43,78,17,3
151,a126,152,Male,39,78,88,4
152,a127,153,Female,44,78,20,3
153,a128,154,Female,38,78,76,4
154,a129,155,Female,47,78,16,3
155,a130,156,Female,27,78,89,4
156,a131,157,Male,37,78,1,3
157,a132,158,Female,30,78,78,4
158,a133,159,Male,34,78,1,3
159,a134,160,Female,30,78,73,4
160,a135,161,Female,56,79,35,3
161,a136,162,Female,29,79,83,4
162,a137,163,Male,19,81,5,3
163,a138,164,Female,31,81,93,4
164,a139,165,Male,50,85,26,3
165,a140,166,Female,36,85,75,4
166,a141,167,Male,42,86,20,3
167,a142,168,Female,33,86,95,4
168,a143,169,Female,36,87,27,3
169,a144,170,Male,32,87,63,4
170,a145,171,Male,40,87,13,3
171,a146,172,Male,28,87,75,4
172,a147,173,Male,36,87,10,3
173,a148,174,Male,36,87,92,4
174,a149,175,Female,52,88,13,3
175,a150,176,Female,30,88,86,4
176,a151,177,Male,58,88,15,3
177,a152,178,Male,27,88,69,4
178,a153,179,Male,59,93,14,3
179,a154,180,Male,35,93,90,4
180,a155,181,Female,37,97,32,3
181,a156,182,Female,32,97,86,2
182,a157,183,Male,46,98,15,3
183,a158,184,Female,29,98,88,2
184,a159,185,Female,41,99,39,3
185,a160,186,Male,30,99,97,2
186,a161,187,Female,54,101,24,3
187,a162,188,Male,28,101,68,2
188,a163,189,Female,41,103,17,3
189,a164,190,Female,36,103,85,2
190,a165,191,Female,34,103,23,3
191,a166,192,Female,32,103,69,2
192,a167,193,Male,33,113,8,3
193,a168,194,Female,38,113,91,2
194,a169,195,Female,47,120,16,3
195,a170,196,Female,35,120,79,2
196,a171,197,Female,45,126,28,3
197,a172,198,Male,32,126,74,2
198,a173,199,Male,32,137,18,3
199,a174,200,Male,30,137,83,2
